HGNC_symbol,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
COMMD9,10.01721725,10.22539456,9.869230152,10.95596103,10.86369198,10.63538356
COMT,11.44381342,11.659986,10.66764899,11.66539786,11.96674293,11.04457713
COMTD1,9.96942911,9.489356621,9.245402176,10.99249894,10.12368589,10.24738405
COP1,11.47946778,11.46545159,11.41348403,11.26709697,11.44613553,10.87022055
COP1-DT,6.212174677,6.084680694,6.141806269,6.127464679,6.225570687,6.061164679
COPA,14.17580283,13.88986901,13.74724005,14.47595861,14.08343074,13.9085086
COPB1,12.79277142,12.81448881,12.95158426,13.21189759,12.95926979,12.78336201
COPB2,13.41931484,13.38166092,13.18865545,13.27639396,13.2071042,12.89198642
COPB2-DT,6.212174677,6.314537953,6.328775079,6.581851957,6.68306074,6.875480175
COPE,13.55482681,13.46231185,13.06666845,13.7411278,13.61402228,13.22101745
COPG1,13.80206117,13.69132815,13.3971061,13.70677905,13.6076825,13.42030813
COPG2,8.49291819,9.768282472,9.189315961,9.551631268,10.4617618,9.781180664
COPRS,11.81330675,10.89360052,11.21288444,9.759015498,9.734649999,9.593536686
COPS2,12.76053717,12.33342563,12.3714327,12.0355332,11.55165456,11.6084575
COPS3,12.21296372,11.81027525,11.94137761,11.76660299,11.72493265,11.30360262
COPS4,11.26466819,10.64997542,10.83875353,10.84812495,10.57801217,10.70658552
COPS5,11.72646177,11.54084604,11.42449017,11.49129252,11.40430311,11.24596893
COPS5P2,5.990074363,6.031277264,6.039207632,5.684002536,5.876459265,5.872985945
COPS6,12.33570899,12.10282453,11.8787468,12.12555232,12.22520672,11.75397211
COPS7A,11.35061779,11.31814152,11.1412976,11.12624646,11.34707637,11.28940879
COPS7B,11.52681192,11.69948505,10.91490131,10.66692694,11.06171126,10.63217154
COPS8,11.58197424,11.7311706,11.34272391,11.10008534,11.5213866,10.80398602
COPS8-DT,5.684002536,6.248855168,5.97426954,6.207898878,6.512108865,6.538124066
COPS9,11.77508751,11.00573231,11.31578437,11.4260258,11.15862068,11.07740657
COPZ1,13.11724917,12.80868183,12.84731155,13.10932147,12.94123063,12.76296902
COPZ2,7.62525201,7.575436103,8.050538705,7.953315444,7.768583868,8.564296579
COQ10A,8.897942742,8.923349963,8.696610979,8.858991275,9.182742134,8.871040994
COQ10B,12.1674283,11.48517541,11.8476079,10.92284808,10.73531699,10.77734217
COQ2,10.89290319,9.307087224,9.657208347,9.812015126,9.265132032,9.152405962
COQ3,8.294117783,8.491390937,7.761382606,7.935325676,8.44729928,7.537389904
COQ4,11.49754943,11.38697164,11.27075208,11.56590214,11.06911754,11.18702872
COQ5,10.55341235,10.73697128,10.19965068,10.91481572,10.94780134,10.55370057
COQ6,8.507087104,8.703078906,8.632480642,8.907431514,9.161957657,9.225036672
COQ7,10.16640432,10.19741759,9.854616993,9.735924668,10.0190393,9.667799168
COQ8A,10.76191321,10.64638384,11.18337947,12.04124323,11.33176637,12.31049142
COQ8B,11.03550695,10.65355807,10.45635794,11.26422686,11.05239956,10.62330136
COQ9,11.1674482,11.09469619,10.7635672,10.59652038,10.80278699,10.32308555
CORIN,5.684002536,5.884823932,6.1850857,6.028044969,6.068066365,6.010865934
CORO1A,15.01567572,15.3211598,13.89209278,16.38528377,17.03184086,15.5366836
CORO1A-AS1,7.887684589,8.331392147,7.996322445,8.503253549,8.85102266,9.071082104
CORO1B,10.3383077,10.06498186,10.9296595,11.94311197,11.54547465,12.54887969
CORO1C,11.94706635,12.52414861,12.07622339,9.947328816,12.58908623,9.661492405
CORO1CP1,5.90063054,6.131617921,5.684002536,6.080957172,5.684002536,6.010865934
CORO2A,8.478602835,8.181279766,8.130740831,11.2813624,10.37570641,10.74574543
CORO6,6.744146361,6.54713893,6.519953428,6.517105505,6.700053429,7.092321825
CORO7,10.38171662,10.56501342,10.26610726,11.25442554,11.33637647,10.85927638
CORT,6.116049387,6.173951857,5.889425093,6.028044969,5.876459265,6.181888762
COSMOC,6.058513389,5.967778528,6.039207632,6.394675016,6.39735457,6.776548116
COTL1,14.93003378,13.02030364,14.47833603,15.31304982,14.12774665,15.38317898
COX10,10.78205172,10.53812754,10.49762815,9.781740036,10.13433255,9.763632022
COX10-DT,7.616115848,7.959128824,8.258036117,7.404955965,8.02954954,7.983944723
COX11,10.80847238,11.00082034,10.50905762,11.15442358,11.19348629,10.67103343
COX14,10.79059704,10.10744921,10.43581486,10.98833001,10.47298073,10.81394032
COX15,10.50920877,10.77282194,10.64522821,11.21572883,11.23138391,11.07740657
COX16,10.30287754,9.817132547,10.030994,9.830811897,9.763935983,9.688106311
COX17,11.73533629,11.53163454,11.32050582,10.87697818,10.92553059,10.46890363
COX17P1,6.166599461,6.314537953,6.261649895,5.88294886,6.113084811,5.951075045
COX18,10.39672991,10.43986276,10.68332175,10.09835465,10.13786397,10.00293524
COX19,10.41896008,10.50875276,10.44990228,10.52249234,10.37371219,10.52713985
COX20,9.909550717,9.487342179,9.634552502,8.650152674,8.935401589,8.797515566
COX20P1,6.166599461,6.131617921,6.09381558,5.684002536,6.190960507,6.061164679
COX4I1,14.41975621,13.97859356,14.08887873,14.42156988,13.96178422,14.13068755
COX5A,13.05816703,12.70900695,12.44081245,12.51378819,12.47180644,11.95132617
COX5B,12.42677712,12.29125272,12.04804001,12.18076318,12.40512637,11.71354769
COX5BP4,5.990074363,6.031277264,6.039207632,5.965133095,5.955976396,5.951075045
COX5BP6,5.90063054,6.248855168,5.684002536,6.127464679,6.345379965,5.951075045
COX6A1,13.34943864,12.75158696,12.69047973,12.90475946,12.71180161,12.22786947
COX6A1P2,7.243936385,6.959946634,7.082397185,7.015656397,6.962182103,6.791331717
COX6B1,13.04692597,12.67990559,12.48168335,12.95170076,12.84263661,12.58749711
COX6B1P5,5.90063054,6.031277264,5.889425093,5.684002536,6.016855862,6.145279158
COX6B2,5.90063054,6.031277264,5.889425093,6.127464679,5.955976396,5.951075045
COX6C,12.29794121,11.88906635,11.68003275,11.9420351,11.76385347,11.38833041
COX6CP1,5.90063054,6.131617921,5.889425093,5.88294886,5.684002536,6.105385029
COX7A1,6.363389184,6.173951857,5.97426954,6.127464679,6.016855862,6.277846683
COX7A2,13.35504626,12.66446668,12.77651104,12.53322408,12.34515715,11.86510675
COX7A2L,12.48288387,12.15268442,12.1309899,12.46764212,12.21189202,12.08730882
COX7A2P1,5.990074363,7.282518329,6.389167843,5.88294886,6.716722661,6.215893106
COX7B,11.90398951,11.39501469,11.37371931,11.5862662,11.36874097,10.75389454
COX7C,13.58308973,12.86244334,13.24993532,13.42893103,12.96076292,13.29668713
COX7CP1,6.166599461,5.967778528,5.889425093,6.127464679,6.016855862,6.181888762
COX8A,13.32564567,12.92152757,12.31991798,13.1529383,13.17944227,12.28389931
CP,5.90063054,7.240243736,5.889425093,6.243638289,7.481751774,6.215893106
CPA5,5.684002536,7.35298925,5.684002536,5.88294886,7.2898612,5.684002536
CPAMD8,6.589028203,6.477882595,6.543505487,8.094458937,7.059648282,7.31817799
CPB2-AS1,5.684002536,5.967778528,5.684002536,6.028044969,6.113084811,5.684002536
CPD,14.46764788,13.73990524,14.15733535,12.41169733,12.5804786,12.52528953
CPE,5.684002536,5.884823932,6.09381558,6.028044969,5.876459265,6.010865934
CPEB1,5.990074363,6.45326313,6.141806269,5.965133095,6.113084811,5.951075045
CPEB2,10.72474048,10.89056848,10.59249086,10.64324921,10.34753248,10.51759601
CPEB2-DT,6.116049387,6.031277264,6.224787199,5.88294886,5.684002536,6.105385029
CPEB3,8.611163042,8.593687084,8.768477881,9.182425264,8.635255507,9.42488846
CPEB4,12.13090744,11.37400868,12.42747439,10.43528327,10.56234403,10.7397897
CPED1,5.684002536,6.282649104,5.684002536,6.028044969,6.39735457,5.684002536
CPHL1P,5.990074363,6.084680694,6.09381558,5.88294886,5.955976396,6.145279158
CPLANE1,8.836200264,9.251100594,9.301764787,10.07491774,9.731532142,9.888943303
CPLANE2,8.74414368,8.445731465,8.898848461,9.265706924,9.147930343,9.683445553
CPLX1,9.099598567,6.841722834,9.660949691,6.962464962,6.648035044,9.145615184
CPM,9.766366873,10.90491419,9.152436288,7.788552419,9.926736573,8.408345994
CPNE1,12.44341838,12.5529422,11.51891135,13.44637444,13.09539151,12.51965685
CPNE2,9.707248146,9.038467976,8.95517709,9.353102553,9.647988922,7.978683445
CPNE3,11.63615714,11.34662223,12.10523492,12.37838577,12.08527003,11.99288974
CPNE4,5.684002536,6.031277264,5.889425093,5.684002536,6.288621095,6.105385029
CPNE5,7.779375185,7.499942022,8.147322461,7.683026775,7.843406314,7.941258105
CPNE6,5.684002536,6.131617921,5.97426954,5.684002536,6.190960507,5.684002536
CPNE7,7.373782058,6.610686002,7.724070781,8.347831962,8.355261183,9.864467758
CPNE8,8.464137859,8.846320707,8.640180031,7.194410353,7.873356533,7.092321825
CPNE8-AS1,6.42689428,6.173951857,6.444439246,5.88294886,5.955976396,5.951075045
CPNE9,5.684002536,5.967778528,5.684002536,6.028044969,6.113084811,5.951075045
CPOX,12.31481255,12.14412219,12.2643532,13.90738406,12.32417064,13.66934487
CPPED1,10.63583768,10.80135793,10.83628205,11.20079536,11.49734672,11.19412129
CPQ,5.684002536,7.313240997,6.817639033,6.517105505,7.818941308,7.353293675
CPSF1,12.29527673,12.7258926,12.10420878,12.84226349,12.76005176,12.68652948
CPSF1P1,5.990074363,6.610686002,6.63122822,5.88294886,6.573231087,6.306399962
CPSF2,12.45510328,12.30326571,12.71533211,12.17160481,12.15679006,12.17151038
CPSF3,11.49464833,11.41835205,11.32521185,11.05827485,11.47150291,10.63858842
CPSF4,11.55158941,11.21347626,11.18208284,11.01316456,11.09413892,10.82523306
CPSF6,13.06776088,12.61759125,12.63187751,12.4495707,12.3514952,11.95903104
CPSF7,12.49105657,12.45070269,12.48247327,12.20130934,12.31797004,12.10622482
CPT1A,12.45181711,12.47492832,12.76183744,13.9410969,13.74177623,13.97808461
CPT1B,6.681070627,7.138949722,7.069335333,7.090719791,7.327137111,8.160752213
CPT1C,6.363389184,6.45326313,6.63122822,7.160913762,7.071222756,7.935824174
CPT2,9.966073978,9.98750087,9.813225532,10.15408482,10.30211295,10.14283315
CPTP,10.74050926,10.40838902,10.47661183,11.80738601,11.34046199,11.65347627
CPVL,5.684002536,8.17615051,5.889425093,5.965133095,8.675248832,6.277846683
CPXM1,7.738391806,6.759740468,10.10825451,5.684002536,5.876459265,6.061164679
CR1,5.684002536,7.654285313,5.684002536,5.88294886,8.178811025,5.684002536
CR1L,5.90063054,6.031277264,5.97426954,5.684002536,6.068066365,5.684002536
CRABP2,6.166599461,8.717038286,6.328775079,6.169412848,9.393319632,6.333626357
CRACD,7.460009372,8.667558637,7.84676719,7.976927759,8.764346246,8.431191075
CRACDL,6.744146361,6.501690324,6.417368493,7.941349505,7.327137111,7.420553153
CRACR2A,10.02851783,10.6880295,9.690533489,11.5352826,11.82161231,11.13183969
CRACR2B,7.669966482,7.778020338,7.272765767,8.849720281,8.803863676,8.608190047
CRADD,9.425776337,8.833595377,9.160420118,9.395923703,9.451437437,9.548081501
CRAMP1,10.8150025,10.86144123,10.71685456,10.76850215,10.44666584,10.93354304
CRAT,8.984094568,8.820753862,9.52995947,11.44743676,10.8580012,11.47150006
CRB2,6.456536923,6.373645091,6.1850857,6.127464679,6.592587141,6.277846683
CRB3,6.212174677,5.967778528,6.29618768,6.581851957,6.258007383,7.205978463
CRBN,10.38297373,10.63464892,10.42488374,11.99387835,11.40235028,12.0121511
CRCP,11.77747629,11.65508328,11.46343076,11.11545674,11.29644967,11.08447104
CREB1,12.57088438,12.4586527,12.63424892,12.37013644,12.2082647,12.19833873
CREB3,12.65668079,11.96485574,12.26832845,11.44084347,11.03043536,11.18209796
CREB3L1,5.684002536,6.131617921,5.684002536,5.88294886,6.068066365,5.684002536
CREB3L2,13.75242014,13.15044122,13.50858181,13.20533136,12.9723237,12.98830313
CREB3L3,10.47189686,12.19659072,11.42613387,11.57334057,11.99454899,11.4025295
CREB3L4,7.634322375,8.24625392,7.621627106,9.242405778,8.779677178,9.385181965
CREB5,5.684002536,7.078403034,6.09381558,5.88294886,6.39735457,5.684002536
CREBBP,12.91603918,13.15265602,13.19187865,13.58537809,13.33490908,13.76957858
CREBL2,11.75195169,11.88526543,11.89663837,12.43408101,11.75622934,12.5810629
CREBRF,10.19532811,10.27860572,10.90550184,12.56481322,11.13116967,13.02592398
CREBZF,10.93889472,11.73032333,10.94503283,11.35442889,11.85910906,11.73689265
CREG1,11.13053982,12.56296895,11.11910931,10.30266797,12.62928536,10.69354874
CREG2,5.684002536,6.131617921,5.889425093,6.127464679,6.153695847,6.105385029
CRELD1,10.72474048,9.981803145,10.71146958,10.20173728,9.848365217,10.84061742
CRELD2,13.25216108,12.29412204,12.56409254,12.82114038,12.21717713,12.16125011
CREM,15.34562919,14.37857713,14.97641017,11.77348076,11.37024037,11.51135225
CRH,5.684002536,6.131617921,5.889425093,5.684002536,6.153695847,6.145279158
CRHR2,6.166599461,6.282649104,6.359695104,5.965133095,6.153695847,6.061164679
CRIM1,12.56674765,12.47062299,11.9367735,8.93396502,11.03233118,9.192482316
CRIP1,9.841578607,9.408607281,9.809862002,11.12624646,10.82920508,11.16886618
CRIP2,9.177526561,8.080328267,10.29881693,8.606581364,8.379870558,9.44525423
