,ensembl_gene_id,ensembl_transcript_id,hgnc_symbol
84254,ENSG00000012779,ENST00000374391,ALOX5
139715,ENSG00000012817,ENST00000469599,KDM5D
111174,ENSG00000012822,ENST00000262059,CALCOCO1
107857,ENSG00000012963,ENST00000554232,UBR7
113081,ENSG00000012983,ENST00000554990,MAP4K5
481,ENSG00000013016,ENST00000322054,EHD3
151338,ENSG00000013275,ENST00000157812,PSMC4
52103,ENSG00000013288,ENST00000504248,MAN2B2
45316,ENSG00000013297,ENST00000064724,CLDN11
156435,ENSG00000013306,ENST00000225308,SLC25A39
122585,ENSG00000013364,ENST00000563915,MVP
50817,ENSG00000013374,ENST00000413040,NUB1
55481,ENSG00000013375,ENST00000698599,PGM3
55246,ENSG00000013392,ENST00000369724,RWDD2A
13557,ENSG00000013441,ENST00000321356,CLK1
112266,ENSG00000013503,ENST00000228347,POLR3B
114768,ENSG00000013523,ENST00000251089,ANGEL1
40020,ENSG00000013561,ENST00000511961,RNF14
79477,ENSG00000013563,ENST00000369807,DNASE1L1
108343,ENSG00000013573,ENST00000542838,DDX11
88908,ENSG00000013583,ENST00000014930,HEBP1
88902,ENSG00000013588,ENST00000537783,GPRC5A
76126,ENSG00000013619,ENST00000468306,MAMLD1
84216,ENSG00000013725,ENST00000313421,CD6
51750,ENSG00000013810,ENST00000652002,TACC3
50218,ENSG00000014123,ENST00000461673,UFL1
90865,ENSG00000014138,ENST00000527850,POLA2
79161,ENSG00000014164,ENST00000262577,ZC3H3
90522,ENSG00000014216,ENST00000528396,CAPN1
40504,ENSG00000014257,ENST00000336375,ACP3
5946,ENSG00000014641,ENST00000485781,MDH1
54474,ENSG00000014824,ENST00000513699,SLC30A9
15801,ENSG00000014914,ENST00000466496,MTMR11
88174,ENSG00000014919,ENST00000016171,COX15
116663,ENSG00000015133,ENST00000556726,CCDC88C
120746,ENSG00000015153,ENST00000327791,YAF2
88177,ENSG00000015171,ENST00000439456,ZMYND11
82020,ENSG00000015285,ENST00000450772,WAS
142831,ENSG00000015475,ENST00000317361,BID
41275,ENSG00000015479,ENST00000512876,MATR3
156237,ENSG00000015532,ENST00000017003,XYLT2
57107,ENSG00000015676,ENST00000355451,NUDCD3
10341,ENSG00000016391,ENST00000315251,CHDH
9407,ENSG00000016864,ENST00000266014,GLT8D1
5803,ENSG00000017260,ENST00000505330,ATP2C1
115681,ENSG00000017427,ENST00000337514,IGF1
77579,ENSG00000017483,ENST00000595796,SLC38A5
141611,ENSG00000017797,ENST00000019317,RALBP1
42876,ENSG00000018189,ENST00000514898,RUFY3
15721,ENSG00000018280,ENST00000468221,SLC11A1
48312,ENSG00000018408,ENST00000465804,WWTR1
10384,ENSG00000018510,ENST00000680705,AGPS
80677,ENSG00000018610,ENST00000320339,STEEP1
13232,ENSG00000018699,ENST00000448773,TTC27
160035,ENSG00000018869,ENST00000589143,ZNF582
89164,ENSG00000019144,ENST00000361417,PHLDB1
91046,ENSG00000019485,ENST00000530656,PRDM11
50351,ENSG00000019582,ENST00000009530,CD74
71820,ENSG00000019995,ENST00000359653,ZRANB1
13853,ENSG00000020129,ENST00000373253,NCDN
85374,ENSG00000020181,ENST00000428068,ADGRA2
140598,ENSG00000020256,ENST00000371518,ZFP64
105364,ENSG00000020426,ENST00000555545,MNAT1
108109,ENSG00000020577,ENST00000673751,SAMD4A
8292,ENSG00000020633,ENST00000308873,RUNX3
91007,ENSG00000020922,ENST00000323929,MRE11
72506,ENSG00000021300,ENST00000354190,PLEKHB1
40828,ENSG00000021355,ENST00000380739,SERPINB1
6578,ENSG00000021574,ENST00000315285,SPAST
79617,ENSG00000021762,ENST00000263650,OSBPL5
105511,ENSG00000021776,ENST00000156471,AQR
73995,ENSG00000022267,ENST00000629039,FHL1
144813,ENSG00000022277,ENST00000023939,RTF2
160068,ENSG00000022556,ENST00000588619,NLRP2
75717,ENSG00000022567,ENST00000519067,SLC45A4
123648,ENSG00000022840,ENST00000539486,RNF10
112569,ENSG00000022976,ENST00000558850,ZNF839
81581,ENSG00000023041,ENST00000626395,ZDHHC6
89086,ENSG00000023171,ENST00000638157,GRAMD1B
90911,ENSG00000023191,ENST00000534797,RNH1
15459,ENSG00000023228,ENST00000233190,NDUFS1
73098,ENSG00000023287,ENST00000025008,RB1CC1
84083,ENSG00000023318,ENST00000262455,ERP44
6820,ENSG00000023330,ENST00000469224,ALAS1
72931,ENSG00000023445,ENST00000527309,BIRC3
104650,ENSG00000023516,ENST00000025301,AKAP11
8175,ENSG00000023572,ENST00000608166,GLRX2
114274,ENSG00000023608,ENST00000216294,SNAPC1
107977,ENSG00000023697,ENST00000428559,DERA
108103,ENSG00000023734,ENST00000541731,STRAP
77135,ENSG00000023839,ENST00000648689,ABCC2
55755,ENSG00000023892,ENST00000698929,DEF6
21146,ENSG00000023902,ENST00000369126,PLEKHO1
2698,ENSG00000023909,ENST00000370238,GCLM
43242,ENSG00000024048,ENST00000372899,UBR2
149824,ENSG00000024422,ENST00000538399,EHD2
3258,ENSG00000024526,ENST00000456315,DEPDC1
42758,ENSG00000024862,ENST00000617445,CCDC28A
37768,ENSG00000025039,ENST00000369415,RRAGD
37884,ENSG00000025156,ENST00000368455,HSF2
141028,ENSG00000025293,ENST00000461122,PHF20
119740,ENSG00000025423,ENST00000555159,HSD17B6
