,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
ENSG00000108298,16.16633072,15.44768974,15.80810945,15.99013803,15.25665256,15.80212346
ENSG00000265460,5.990074363,5.884823932,6.039207632,6.243638289,5.955976396,6.47636798
ENSG00000108306,8.905031814,9.684727996,9.754943282,10.96518274,10.50338924,11.24176269
ENSG00000266469,10.06503425,10.02399481,10.02520951,9.421012399,9.496285561,9.508186393
ENSG00000125686,12.90209778,12.74531098,12.98652693,12.26096024,12.23730481,12.16319685
ENSG00000167258,13.4292218,13.10247283,13.57019207,12.61904393,12.36634352,12.51225769
ENSG00000273576,6.613014956,7.078403034,6.566358688,7.172191086,7.574885424,7.491986069
ENSG00000131748,12.26257203,11.85059873,11.99514117,12.18804823,12.16487409,11.93351237
ENSG00000173991,6.589028203,6.724790586,6.63122822,6.602302164,6.6299629,6.91496693
ENSG00000141744,5.990074363,5.684002536,5.97426954,5.88294886,5.955976396,6.105385029
ENSG00000161395,9.281534163,8.889974693,9.821599988,10.11632258,9.964373001,11.00664982
ENSG00000141736,7.111567143,7.218506969,7.536734877,8.450617207,8.086220892,9.00499325
ENSG00000141741,11.12078678,10.59047198,10.73377536,10.99457889,10.94310592,10.62087271
ENSG00000141738,5.990074363,5.967778528,6.09381558,5.965133095,5.684002536,5.684002536
ENSG00000161405,10.38799121,11.52089454,11.62385152,9.324562524,10.3434622,10.39689509
ENSG00000073605,7.449562012,7.735700307,7.708836868,8.821535034,8.296062503,9.308371905
ENSG00000172057,12.45689258,12.64818813,12.7614036,14.06808897,13.2075235,14.0695837
ENSG00000264968,6.212174677,6.373645091,6.224787199,6.127464679,6.190960507,6.105385029
ENSG00000167914,5.990074363,5.967778528,6.09381558,6.028044969,6.113084811,6.215893106
ENSG00000108344,13.77291295,13.56802768,13.29439519,12.84457018,13.03965084,12.39077376
ENSG00000108342,5.684002536,7.11513236,5.684002536,5.684002536,5.684002536,5.684002536
ENSG00000008838,12.38196164,12.49102234,12.13802606,12.32844163,12.51919308,12.2749252
ENSG00000238793,5.684002536,6.031277264,6.09381558,5.965133095,6.068066365,6.145279158
ENSG00000126351,7.69605759,7.078403034,8.201170648,11.61987927,8.983707976,12.01184246
ENSG00000126368,10.51838753,9.239154156,10.06944139,9.838571719,8.648714287,10.50007973
ENSG00000279199,6.166599461,6.084680694,5.889425093,5.684002536,5.684002536,5.872985945
ENSG00000188895,12.09879596,11.91986167,11.58072279,12.93231212,12.44645084,12.58168682
ENSG00000108349,13.12139159,12.77395705,13.02100567,12.5803521,12.49695274,12.71486549
ENSG00000108352,7.449562012,7.482518557,7.654038032,7.467563413,7.345339796,8.249806757
ENSG00000171475,12.56757595,12.3929881,12.21893899,12.39553109,12.44313113,12.08613661
ENSG00000094804,11.04981178,11.10519506,10.62245274,10.44343342,11.09353378,8.959153518
ENSG00000131759,12.50409502,11.46697842,12.69820719,11.76741384,11.12585292,11.53388565
ENSG00000265666,6.329109341,6.724790586,6.261649895,6.84688864,6.854423589,6.76152374
ENSG00000278918,6.927905736,6.650444886,7.015428915,6.641726071,6.665727502,6.977509478
ENSG00000266208,8.028401582,7.323304791,7.716476488,8.279452533,7.919897979,8.296411718
ENSG00000183153,6.976937352,6.56889203,6.610175878,7.126377396,6.854423589,7.013284027
ENSG00000131747,12.35598743,13.73864208,10.61670213,14.27506928,14.84833067,12.11803011
